<TICKER>,x,<CLOSE>,<OPENINT>,<COl12>,Date
????_??6,20140205,82214.3,83170.6,Overall Index,2/4/2014
????_??6,20140208,81066.8,82214.3,Overall Index,2/5/2014
????_??6,20140209,80949.5,81066.8,Overall Index,2/8/2014
????_??6,20140210,80240.3,80949.5,Overall Index,2/9/2014
????_??6,20140212,79136.6,80240.3,Overall Index,2/10/2014
????_??6,20140215,79153.1,79136.6,Overall Index,2/12/2014
????_??6,20140216,79769.2,79153.1,Overall Index,2/15/2014
????_??6,20140217,80603,79769.2,Overall Index,2/16/2014
????_??6,20140218,80435.7,80603,Overall Index,2/17/2014
????_??6,20140219,80986.5,80435.7,Overall Index,2/18/2014
????_??6,20140222,81325,80986.5,Overall Index,2/19/2014
